,City,Total Murders,Unsolved Murders,Unsolved Murder %,% Total Asian,% Unsolved Asian,% Total Black,% Unsolved Black,% Total Hispanic,% Unsolved Hispanic,% Total White,% Unsolved White,% Total Other,% Unsolved Other,% Total Unknown,% Unsolved Unknown,lat,lon
0,Albuquerque,409,158,0.3863080684596577,0.014669926650366748,1.0,0.08801955990220049,0.4166666666666667,0.1784841075794621,0.3698630136986301,0.38141809290953543,0.3333333333333333,0.10757946210268948,0.29545454545454547,0.22493887530562348,0.4891304347826087,35.0910348309333,-106.6045109986666
1,Atlanta,1054,404,0.38330170777988615,0.003795066413662239,0.25,0.9079696394686907,0.3824451410658307,0.019924098671726755,0.5714285714285714,0.06261859582542695,0.3484848484848485,0.003795066413662239,0.5,0.0,,33.740594848920885,-84.42015097461447
2,Baltimore,3062,1976,0.6453298497713913,0.0035924232527759633,0.36363636363636365,0.9183540169823645,0.6625177809388336,0.019921619856303068,0.5245901639344263,0.05551926845199216,0.4294117647058823,0.001959503592423253,0.6666666666666666,0.0,,39.308105470817075,-76.62543671071822
3,Baton Rouge,459,212,0.46187363834422657,0.002178649237472767,,0.8845315904139434,0.47783251231527096,0.023965141612200435,0.45454545454545453,0.08061002178649238,0.35135135135135137,0.004357298474945534,,0.0,,30.469779372169818,-91.14202971981133
4,Birmingham,866,376,0.4341801385681293,0.0,,0.8822170900692841,0.4280104712041885,0.025404157043879907,0.5454545454545454,0.08083140877598152,0.4714285714285714,0.005773672055427252,0.6,0.003464203233256351,0.3333333333333333,33.51810748410514,-86.82505457722148
5,Boston,665,335,0.5037593984962406,0.009022556390977444,0.16666666666666666,0.7082706766917293,0.583864118895966,0.18345864661654135,0.4180327868852459,0.09172932330827067,0.09836065573770492,0.0030075187969924814,0.5,0.0015037593984962407,1.0,42.31210776290846,-71.08158460882358
6,Buffalo,564,346,0.6134751773049646,0.0035460992907801418,0.5,0.8138297872340425,0.6535947712418301,0.06914893617021277,0.48717948717948717,0.10460992907801418,0.3898305084745763,0.0035460992907801418,0.5,0.0035460992907801418,1.0,42.91270267076928,-78.84342689230772
7,Charlotte,744,223,0.29973118279569894,0.005376344086021506,0.75,0.706989247311828,0.2870722433460076,0.12231182795698925,0.3956043956043956,0.1424731182795699,0.20754716981132076,0.009408602150537635,0.42857142857142855,0.010752688172043012,1.0,35.229825504890854,-80.82773882726343
8,Chicago,5996,4413,0.7359906604402935,0.0045030020013342225,0.6666666666666666,0.7680120080053369,0.7467969598262758,0.1786190793862575,0.7310924369747899,0.0461974649766511,0.5848375451263538,0.0011674449633088727,0.5714285714285714,0.0011674449633088727,1.0,41.81483806043369,-87.66873209197813
9,Cincinnati,751,335,0.44607190412782954,0.0013315579227696406,1.0,0.8495339547270306,0.47648902821316613,0.006657789613848202,0.6,0.12916111850865514,0.2268041237113402,0.010652463382157125,0.625,0.0013315579227696406,,39.142641293804026,-84.51637354639757
10,Columbus,1174,624,0.5315161839863713,0.0008517887563884157,,0.7086882453151618,0.5504807692307693,0.034071550255536626,0.6,0.23764906303236796,0.4731182795698925,0.017035775127768313,0.45,0.0008517887563884157,1.0,39.97419491816498,-82.972469108897
11,Dallas,1697,817,0.48143783146729524,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.48143783146729524,32.77373579558396,-96.77986273889599
12,Denver,338,182,0.5384615384615384,0.014792899408284023,0.2,0.3609467455621302,0.5983606557377049,0.2988165680473373,0.594059405940594,0.30177514792899407,0.45098039215686275,0.014792899408284023,0.4,0.0,,39.73451124483975,-104.96081299775645
13,Detroit,2728,1604,0.5879765395894428,0.0032991202346041057,0.6666666666666666,0.8925953079178885,0.5975359342915811,0.017961876832844576,0.5714285714285714,0.08284457478005865,0.4778761061946903,0.0018328445747800588,1.0,0.0007331378299120235,1.0,42.389719866931244,-83.10559800353313
14,Durham,299,109,0.36454849498327757,0.0,,0.7391304347826086,0.34841628959276016,0.1605351170568562,0.4583333333333333,0.09364548494983277,0.35714285714285715,0.0033444816053511705,,0.0,,35.98965993768116,-78.89410598224639
15,Fort Worth,594,275,0.46296296296296297,0.010101010101010102,0.3333333333333333,0.45286195286195285,0.43866171003717475,0.2760942760942761,0.5060975609756098,0.2441077441077441,0.46206896551724136,0.013468013468013467,0.625,0.0,,32.73273658834243,-97.31622808378869
16,Fresno,527,184,0.349146110056926,0.05502846299810247,0.3448275862068966,0.2998102466793169,0.3860759493670886,0.4971537001897533,0.366412213740458,0.13092979127134724,0.2028985507246377,0.011385199240986717,0.5,0.003795066413662239,,36.7585712699793,-119.78763640310554
17,Houston,3187,1617,0.5073737056793223,0.03074992155632256,0.3877551020408163,0.5120803263256981,0.4895833333333333,0.3235017257609037,0.5548011639185257,0.12896140571069972,0.48418491484184917,0.004079071226859115,0.6923076923076923,0.0,,29.743696012577608,-95.41818662670983
18,Indianapolis,1432,643,0.4490223463687151,0.002793296089385475,0.5,0.6878491620111732,0.4883248730964467,0.05656424581005587,0.49382716049382713,0.24720670391061453,0.3333333333333333,0.0034916201117318434,0.2,0.0006983240223463687,1.0,39.800702756732214,-86.13496631909229
19,Jacksonville,1265,647,0.5114624505928854,0.010276679841897233,0.38461538461538464,0.6806324110671936,0.5447154471544715,0.0,,0.2932806324110672,0.4366576819407008,0.0007905138339920949,,0.014229249011857707,0.6111111111111112,30.328058142808217,-81.66882587808229
20,Kansas City,1289,527,0.40884406516679594,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.40884406516679594,39.0539040733613,-94.54460808436983
