,City,Year,Total Murders,Unsolved Murders,Unsolved Murder %,% Total Asian,% Unsolved Asian,% Total Black,% Unsolved Black,% Total Hispanic,% Unsolved Hispanic,% Total White,% Unsolved White,% Total Other,% Unsolved Other,% Total Unknown,% Unsolved Unknown
0,Charlotte,2011,59,10,0.1694915254237288,0.0,,0.023335621139327384,0.14705882352941177,0.0075497597803706245,0.18181818181818182,0.0075497597803706245,0.15384615384615385,0.0006863417982155113,1.0,0.0,
0,Charlotte,2012,53,13,0.24528301886792453,0.0,,0.02539464653397392,0.21621621621621623,0.0034317089910775567,0.6,0.0034317089910775567,0.2,0.0006863417982155113,,0.0,
0,Charlotte,2013,57,16,0.2807017543859649,0.0,,0.03088538091969801,0.3111111111111111,0.004804392587508579,0.2857142857142857,0.004804392587508579,,0.0,,0.0,
0,Charlotte,2014,44,10,0.22727272727272727,0.0006863417982155113,,0.022649279341111873,0.15151515151515152,0.002745367192862045,0.5,0.002745367192862045,0.4,0.0,,0.0006863417982155113,1.0
0,Charlotte,2015,63,19,0.30158730158730157,0.0,,0.03225806451612903,0.3191489361702128,0.0034317089910775567,0.2,0.0034317089910775567,0.2727272727272727,0.0,,0.0,
0,Charlotte,2016,72,21,0.2916666666666667,0.0006863417982155113,1.0,0.03980782429649966,0.29310344827586204,0.0013726835964310226,,0.0013726835964310226,0.2,0.0,,0.0006863417982155113,1.0
0,Charlotte,2017,90,29,0.32222222222222224,0.0,,0.04667124227865477,0.29411764705882354,0.0061770761839396015,0.6666666666666666,0.0061770761839396015,0.2,0.0013726835964310226,,0.0006863417982155113,1.0
0,Chicago,2007,481,299,0.6216216216216216,0.0013726835964310226,,0.24982841455044613,0.6373626373626373,0.059025394646533974,0.6395348837209303,0.059025394646533974,0.41379310344827586,0.0,,0.0,
0,Chicago,2008,551,346,0.6279491833030852,0.002059025394646534,,0.273850377487989,0.5964912280701754,0.08373369938229239,0.7704918032786885,0.08373369938229239,0.5185185185185185,0.0,,0.0,
0,Chicago,2009,493,327,0.6632860040567952,0.002745367192862045,0.75,0.2546328071379547,0.6684636118598383,0.06932052161976665,0.6336633663366337,0.06932052161976665,0.6875,0.0006863417982155113,1.0,0.0,
0,Chicago,2010,468,323,0.6901709401709402,0.0006863417982155113,,0.24708304735758407,0.7055555555555556,0.05971173644474949,0.6896551724137931,0.05971173644474949,0.45,0.0,,0.0,
0,Chicago,2011,472,329,0.6970338983050848,0.0013726835964310226,1.0,0.24365133836650651,0.7014084507042253,0.06245710363761153,0.6813186813186813,0.06245710363761153,0.6190476190476191,0.0006863417982155113,1.0,0.0013726835964310226,1.0
0,Chicago,2012,545,399,0.7321100917431193,0.0034317089910775567,1.0,0.28277282086479066,0.7451456310679612,0.06382978723404255,0.7634408602150538,0.06382978723404255,0.45454545454545453,0.0006863417982155113,,0.0006863417982155113,1.0
0,Chicago,2013,456,313,0.6864035087719298,0.0,,0.24639670555936857,0.7103064066852368,0.05765271105010295,0.6071428571428571,0.05765271105010295,0.5454545454545454,0.0013726835964310226,0.5,0.0,
0,Chicago,2014,451,318,0.70509977827051,0.002745367192862045,0.75,0.23953328757721346,0.7077363896848138,0.04735758407687028,0.7246376811594203,0.04735758407687028,0.6206896551724138,0.0,,0.0,
